insitution,num_institution,state,state_num,state_abb
Alabama A&M U.,5.0,Alabama,707.0,AL
Alabama State U.,6.0,Alabama,707.0,AL
"Auburn U., Auburn",284.0,Alabama,707.0,AL
Tuskegee U.,12.0,Alabama,707.0,AL
"U. Alabama, Birmingham",127.0,Alabama,707.0,AL
"U. Alabama, Huntsville",42.0,Alabama,707.0,AL
"U. Alabama, Tuscaloosa",199.0,Alabama,707.0,AL
U. South Alabama,32.0,Alabama,707.0,AL
"U. Alaska, Anchorage",3.0,Alaska,52.0,AK
"U. Alaska, Fairbanks",49.0,Alaska,52.0,AK
Arizona State U.,369.0,Arizona,801.0,AZ
Northern Arizona U.,20.0,Arizona,801.0,AZ
Prescott C.,11.0,Arizona,801.0,AZ
U. Arizona,401.0,Arizona,801.0,AZ
"Arkansas State U., Jonesboro",14.0,Arkansas,202.0,AR
U. Arkansas for Medical Sciences,28.0,Arkansas,202.0,AR
"U. Arkansas, Fayetteville",148.0,Arkansas,202.0,AR
"U. Arkansas, Little Rock",12.0,Arkansas,202.0,AR
"Alliant International U., Alhambra",83.0,California,6105.0,CA
Azusa Pacific U.,14.0,California,6105.0,CA
Biola U.,17.0,California,6105.0,CA
California Institute of Integral Studies,35.0,California,6105.0,CA
California Institute of Technology,180.0,California,6105.0,CA
Chapman U.,18.0,California,6105.0,CA
"City of Hope, Irell and Manella Graduate School of Biological Sciences",9.0,California,6105.0,CA
Claremont Graduate U.,168.0,California,6105.0,CA
Claremont School of Theology,12.0,California,6105.0,CA
Fielding Graduate U.,108.0,California,6105.0,CA
Frederick S. Pardee RAND Graduate School,15.0,California,6105.0,CA
Fuller Theological Seminary,50.0,California,6105.0,CA
Graduate Theological Union,33.0,California,6105.0,CA
Keck Graduate Institute,1.0,California,6105.0,CA
La Sierra U.,7.0,California,6105.0,CA
Loma Linda U.,41.0,California,6105.0,CA
Palo Alto U.,62.0,California,6105.0,CA
"San Diego State U., San Diego",3.0,California,6105.0,CA
"Sanford-Burnham Medical Research Institute, La Jolla",5.0,California,6105.0,CA
Santa Clara U.,7.0,California,6105.0,CA
Saybrook U.,29.0,California,6105.0,CA
Scripps Research Institute,19.0,California,6105.0,CA
Sofia U.,8.0,California,6105.0,CA
Stanford U.,758.0,California,6105.0,CA
"U. California, Berkeley",799.0,California,6105.0,CA
"U. California, Davis",505.0,California,6105.0,CA
"U. California, Irvine",403.0,California,6105.0,CA
"U. California, Los Angeles",726.0,California,6105.0,CA
"U. California, Merced",43.0,California,6105.0,CA
"U. California, Riverside",268.0,California,6105.0,CA
"U. California, San Diego",520.0,California,6105.0,CA
"U. California, San Francisco",143.0,California,6105.0,CA
"U. California, Santa Barbara",315.0,California,6105.0,CA
"U. California, Santa Cruz",166.0,California,6105.0,CA
U. of the Pacific,3.0,California,6105.0,CA
U. San Diego,36.0,California,6105.0,CA
U. San Francisco,35.0,California,6105.0,CA
U. Southern California,461.0,California,6105.0,CA
Colorado School of Mines,98.0,Colorado,1005.0,CO
"Colorado State U., Fort Collins",223.0,Colorado,1005.0,CO
"U. CO, Denver, Aurora, Anschutz Medical Campus",73.0,Colorado,1005.0,CO
U. Colorado Boulder,392.0,Colorado,1005.0,CO
U. Colorado Colorado Springs,30.0,Colorado,1005.0,CO
U. Colorado Denver,27.0,Colorado,1005.0,CO
U. Denver,94.0,Colorado,1005.0,CO
U. Northern Colorado,68.0,Colorado,1005.0,CO
U. Bridgeport,10.0,Connecticut,748.0,CT
"U. Connecticut, Storrs",348.0,Connecticut,748.0,CT
U. Hartford,1.0,Connecticut,748.0,CT
Wesleyan U.,10.0,Connecticut,748.0,CT
Yale U.,379.0,Connecticut,748.0,CT
Delaware State U.,7.0,Delaware,238.0,DE
U. Delaware,231.0,Delaware,238.0,DE
District of Columbia,623.0,Delaware,238.0,DE
American U.,69.0,Delaware,238.0,DE
Catholic U. of America,81.0,Delaware,238.0,DE
Gallaudet U.,13.0,Delaware,238.0,DE
George Washington U.,247.0,Delaware,238.0,DE
Georgetown U.,108.0,Delaware,238.0,DE
Howard U.,105.0,Delaware,238.0,DE
Barry U.,27.0,Florida,2336.0,FL
"Embry-Riddle Aeronautical U., Daytona Beach",13.0,Florida,2336.0,FL
Florida A&M U.,19.0,Florida,2336.0,FL
Florida Atlantic U.,113.0,Florida,2336.0,FL
Florida Institute of Technology,57.0,Florida,2336.0,FL
Florida International U.,184.0,Florida,2336.0,FL
Florida State U.,363.0,Florida,2336.0,FL
Nova Southeastern U.,108.0,Florida,2336.0,FL
U. Central Florida,218.0,Florida,2336.0,FL
U. Florida,714.0,Florida,2336.0,FL
U. Miami,201.0,Florida,2336.0,FL
"U. South Florida, Tampa",317.0,Florida,2336.0,FL
U. West Florida,2.0,Florida,2336.0,FL
Clark Atlanta U.,19.0,Georgia,1492.0,GA
Emory U.,229.0,Georgia,1492.0,GA
Georgia Institute of Technology,503.0,Georgia,1492.0,GA
Georgia Regents U.,16.0,Georgia,1492.0,GA
Georgia State U.,228.0,Georgia,1492.0,GA
Kennesaw State U.,8.0,Georgia,1492.0,GA
Mercer U.,7.0,Georgia,1492.0,GA
Morehouse School of Medicine,10.0,Georgia,1492.0,GA
U. Georgia,472.0,Georgia,1492.0,GA
"U. Hawaii, Manoa",189.0,Hawaii,189.0,HI
Boise State U.,16.0,Idaho,103.0,ID
Idaho State U.,34.0,Idaho,103.0,ID
U. Idaho,53.0,Idaho,103.0,ID
Benedictine U.,20.0,Illinois,2534.0,IL
Chicago Theological Seminary,6.0,Illinois,2534.0,IL
DePaul U.,9.0,Illinois,2534.0,IL
Garrett-Evangelical Theological Seminary,9.0,Illinois,2534.0,IL
Illinois Institute of Technology,86.0,Illinois,2534.0,IL
Illinois State U.,34.0,Illinois,2534.0,IL
"Institute for Clinical Social Work, Chicago",8.0,Illinois,2534.0,IL
"Loyola U., Chicago",99.0,Illinois,2534.0,IL
"Lutheran School of Theology, Chicago",6.0,Illinois,2534.0,IL
National Louis U.,12.0,Illinois,2534.0,IL
Northern Illinois U.,99.0,Illinois,2534.0,IL
Northwestern U.,441.0,Illinois,2534.0,IL
Roosevelt U.,1.0,Illinois,2534.0,IL
Rosalind Franklin U. of Medicine and Science,16.0,Illinois,2534.0,IL
Rush U.,12.0,Illinois,2534.0,IL
"Southern Illinois U., Carbondale",174.0,Illinois,2534.0,IL
"Toyota Technological Institute, Chicago",2.0,Illinois,2534.0,IL
U. Chicago,387.0,Illinois,2534.0,IL
"U. Illinois, Chicago",325.0,Illinois,2534.0,IL
"U. Illinois, Urbana-Champaign",782.0,Illinois,2534.0,IL
"Wheaton C., Wheaton",6.0,Illinois,2534.0,IL
Ball State U.,36.0,Indiana,1572.0,IN
Indiana State U.,70.0,Indiana,1572.0,IN
"Indiana U., Bloomington",402.0,Indiana,1572.0,IN
"Indiana U.-Purdue U., Indianapolis",87.0,Indiana,1572.0,IN
"Purdue U., West Lafayette",739.0,Indiana,1572.0,IN
U. Notre Dame,238.0,Indiana,1572.0,IN
Iowa State U.,350.0,Iowa,715.0,IA
Maharishi U. of Management,3.0,Iowa,715.0,IA
St. Ambrose U.,2.0,Iowa,715.0,IA
U. Iowa,347.0,Iowa,715.0,IA
U. Northern Iowa,13.0,Iowa,715.0,IA
Kansas State U.,179.0,Kansas,530.0,KS
U. Kansas,310.0,Kansas,530.0,KS
Wichita State U.,41.0,Kansas,530.0,KS
Asbury Theological Seminary,10.0,Kentucky,497.0,KY
Southern Baptist Theological Seminary,36.0,Kentucky,497.0,KY
U. Kentucky,305.0,Kentucky,497.0,KY
U. Louisville,146.0,Kentucky,497.0,KY
Grambling State U.,9.0,Louisiana,607.0,LA
"Louisiana State U., Baton Rouge",296.0,Louisiana,607.0,LA
"Louisiana State U., Health Sciences Center, New Orleans",19.0,Louisiana,607.0,LA
"Louisiana State U., Health Sciences Center, Shreveport",7.0,Louisiana,607.0,LA
Louisiana Tech U.,44.0,Louisiana,607.0,LA
New Orleans Baptist Theological Seminary,13.0,Louisiana,607.0,LA
"Southern U. and A&M C., Baton Rouge",8.0,Louisiana,607.0,LA
Tulane U.,107.0,Louisiana,607.0,LA
"U. Louisiana, Lafayette",44.0,Louisiana,607.0,LA
"U. Louisiana, Monroe",18.0,Louisiana,607.0,LA
U. New Orleans,42.0,Louisiana,607.0,LA
U. Maine,55.0,Maine,56.0,ME
U. Southern Maine,1.0,Maine,56.0,ME
Bowie State U.,3.0,Maryland,1295.0,MD
Johns Hopkins U.,495.0,Maryland,1295.0,MD
"Loyola U., Maryland",7.0,Maryland,1295.0,MD
Morgan State U.,30.0,Maryland,1295.0,MD
Notre Dame of Maryland U.,3.0,Maryland,1295.0,MD
Towson U.,17.0,Maryland,1295.0,MD
"U. Maryland, Baltimore",88.0,Maryland,1295.0,MD
"U. Maryland, Baltimore County",88.0,Maryland,1295.0,MD
"U. Maryland, College Park",528.0,Maryland,1295.0,MD
"U. Maryland, Eastern Shore",13.0,Maryland,1295.0,MD
Uniformed Services U. of the Health Sciences,23.0,Maryland,1295.0,MD
Bentley U.,6.0,Massachusetts,2879.0,MA
Boston C.,120.0,Massachusetts,2879.0,MA
Boston U.,345.0,Massachusetts,2879.0,MA
Brandeis U.,86.0,Massachusetts,2879.0,MA
Clark U.,31.0,Massachusetts,2879.0,MA
Harvard U.,683.0,Massachusetts,2879.0,MA
Massachusetts C. of Pharmacy and Health Sciences,7.0,Massachusetts,2879.0,MA
Massachusetts Institute of Technology,621.0,Massachusetts,2879.0,MA
New England Conservatory,9.0,Massachusetts,2879.0,MA
Northeastern U.,226.0,Massachusetts,2879.0,MA
Simmons C.,13.0,Massachusetts,2879.0,MA
